#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
57.0,Ireland,176839,,2708.0,,23364.0,,150767.0,206.0,35594.0,545.0,2829208.0,569463.0,4968205.0,Europe,28.0,1835.0,2.0
58.0,Kazakhstan,171232,1134.0,2349.0,,155397.0,948.0,13486.0,221.0,9060.0,124.0,5942556.0,314413.0,18900507.0,Asia,110.0,8046.0,3.0
59.0,Lithuania,168708,,2494.0,,104297.0,,61917.0,148.0,62461.0,923.0,1818005.0,673080.0,2701024.0,Europe,16.0,1083.0,1.0
60.0,Malaysia,165371,,619.0,,125288.0,,39464.0,238.0,5074.0,19.0,4107472.0,126018.0,32594449.0,Asia,197.0,52657.0,8.0
61.0,Armenia,165221,309.0,3016.0,9.0,153857.0,357.0,8348.0,,55699.0,1017.0,628405.0,211847.0,2966316.0,Asia,18.0,984.0,5.0
62.0,Kuwait,158822,,950.0,,151936.0,,5936.0,53.0,36890.0,221.0,1415197.0,328709.0,4305317.0,Asia,27.0,4532.0,3.0
63.0,Egypt,158174,,8696.0,,124094.0,,25384.0,90.0,1530.0,84.0,1000000.0,9672.0,103393257.0,Africa,654.0,11890.0,103.0
64.0,Moldova,153506,,3282.0,,143766.0,,6458.0,233.0,38103.0,815.0,599097.0,148705.0,4028749.0,Europe,26.0,1228.0,7.0
65.0,Palestine,153093,,1741.0,,140914.0,,10438.0,81.0,29633.0,337.0,966054.0,186993.0,5166268.0,Asia,34.0,2967.0,5.0
66.0,Slovenia,151137,,3231.0,,125315.0,,22591.0,187.0,72694.0,1554.0,754304.0,362804.0,2079097.0,Europe,14.0,643.0,3.0
67.0,Guatemala,150277,,5313.0,,135594.0,,9370.0,5.0,8304.0,294.0,707601.0,39100.0,18097422.0,North America,120.0,3406.0,26.0
68.0,Greece,149462,,5518.0,,9989.0,,133955.0,320.0,14379.0,531.0,3838310.0,369257.0,10394696.0,Europe,70.0,1884.0,3.0
69.0,Qatar,147729,,248.0,,144218.0,,3263.0,31.0,52614.0,88.0,1328247.0,473055.0,2807805.0,Asia,19.0,11322.0,2.0
