#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
68.0,Kyrgyzstan,13101,603.0,173.0,6.0,3821.0,86.0,9107.0,24.0,2007.0,27.0,262894.0,40270.0,6528297.0,Asia,498.0,37736.0,25.0
69.0,Kenya,12062,389.0,222.0,5.0,3983.0,345.0,7857.0,44.0,224.0,4.0,229390.0,4263.0,53813044.0,Africa,4461.0,242401.0,235.0
70.0,Australia,11235,425.0,116.0,3.0,8117.0,82.0,3002.0,32.0,440.0,5.0,3350444.0,131329.0,25511894.0,Australia/Oceania,2271.0,219930.0,8.0
71.0,El Salvador,11207,250.0,309.0,11.0,6422.0,165.0,4476.0,412.0,1727.0,48.0,204609.0,31538.0,6487640.0,North America,579.0,20996.0,32.0
72.0,Venezuela,10854,,104.0,,3255.0,,7495.0,23.0,382.0,4.0,1414066.0,49735.0,28432102.0,South America,2620.0,273386.0,20.0
73.0,Sudan,10527,,668.0,,5601.0,,4258.0,,240.0,15.0,401.0,9.0,43884637.0,Africa,4169.0,65696.0,109438.0
74.0,Costa Rica,9969,423.0,47.0,5.0,2818.0,145.0,7104.0,38.0,1956.0,9.0,61216.0,12012.0,5096064.0,North America,511.0,108427.0,83.0
75.0,Norway,9018,3.0,255.0,1.0,8138.0,,625.0,1.0,1663.0,47.0,397106.0,73226.0,5423042.0,Europe,601.0,21267.0,14.0
76.0,Ethiopia,8803,328.0,150.0,2.0,2430.0,,6223.0,35.0,77.0,1.0,250604.0,2178.0,115059852.0,Africa,13071.0,767066.0,459.0
77.0,North Macedonia,8786,163.0,406.0,5.0,4676.0,111.0,3704.0,55.0,4217.0,195.0,83216.0,39943.0,2083370.0,Europe,237.0,5131.0,25.0
78.0,Malaysia,8755,18.0,122.0,,8541.0,3.0,92.0,3.0,270.0,4.0,868394.0,26817.0,32382579.0,Asia,3699.0,265431.0,37.0
79.0,Senegal,8544,63.0,160.0,4.0,5809.0,74.0,2575.0,40.0,510.0,10.0,95152.0,5678.0,16758473.0,Africa,1961.0,104740.0,176.0
80.0,DRC,8249,50.0,193.0,,4248.0,,3808.0,,92.0,2.0,,,89645250.0,Africa,10867.0,464483.0,
81.0,Bulgaria,8144,,293.0,,3927.0,,3924.0,28.0,1173.0,42.0,196479.0,28287.0,6945838.0,Europe,853.0,23706.0,35.0
82.0,Bosnia and Herzegovina,7908,227.0,245.0,5.0,3612.0,78.0,4051.0,,2411.0,75.0,117902.0,35948.0,3279814.0,Europe,415.0,13387.0,28.0
83.0,Palestine,7764,352.0,52.0,1.0,1492.0,179.0,6220.0,,1521.0,10.0,141444.0,27704.0,5105518.0,Asia,658.0,98183.0,36.0
84.0,Finland,7301,8.0,328.0,,6880.0,,93.0,1.0,1318.0,59.0,300400.0,54213.0,5541112.0,Europe,759.0,16894.0,18.0
85.0,Haiti,6948,46.0,145.0,,3606.0,122.0,3197.0,,609.0,13.0,15270.0,1339.0,11408129.0,North America,1642.0,78677.0,747.0
86.0,Tajikistan,6786,45.0,56.0,,5483.0,52.0,1247.0,,711.0,6.0,,,9545147.0,Asia,1407.0,170449.0,
87.0,French Guiana,6509,116.0,34.0,,3932.0,114.0,2543.0,25.0,21774.0,114.0,12013.0,40185.0,298939.0,South America,46.0,8792.0,25.0
88.0,Madagascar,6467,378.0,54.0,1.0,3108.0,157.0,3305.0,86.0,233.0,2.0,31774.0,1146.0,27714729.0,Africa,4286.0,513236.0,872.0
89.0,Guinea,6359,,39.0,,5012.0,,1308.0,24.0,484.0,3.0,14407.0,1096.0,13144392.0,Africa,2067.0,337036.0,912.0
90.0,Gabon,6121,,46.0,,3664.0,,2411.0,11.0,2748.0,21.0,52166.0,23419.0,2227542.0,Africa,364.0,48425.0,43.0
91.0,Mauritania,5710,51.0,151.0,1.0,3153.0,160.0,2406.0,7.0,1227.0,32.0,13842.0,2974.0,4653691.0,Africa,815.0,30819.0,336.0
92.0,Luxembourg,5409,124.0,111.0,,4333.0,58.0,965.0,4.0,8636.0,177.0,325741.0,520048.0,626367.0,Europe,116.0,5643.0,2.0
93.0,Djibouti,5003,10.0,56.0,,4809.0,13.0,138.0,,5061.0,57.0,53305.0,53922.0,988562.0,Africa,198.0,17653.0,19.0
94.0,CAR,4389,16.0,53.0,,1288.0,23.0,3048.0,2.0,908.0,11.0,27864.0,5765.0,4832929.0,Africa,1101.0,91187.0,173.0
95.0,Hungary,4293,14.0,595.0,,3220.0,64.0,478.0,4.0,444.0,62.0,302749.0,31343.0,9659186.0,Europe,2250.0,16234.0,32.0
96.0,Croatia,4137,98.0,120.0,,2825.0,96.0,1192.0,7.0,1008.0,29.0,100851.0,24574.0,4104021.0,Europe,992.0,34200.0,41.0
97.0,Greece,3964,25.0,194.0,1.0,1374.0,,2396.0,10.0,380.0,19.0,402672.0,38642.0,10420580.0,Europe,2629.0,53714.0,26.0
98.0,Albania,3906,55.0,107.0,3.0,2214.0,77.0,1585.0,9.0,1357.0,37.0,30551.0,10617.0,2877650.0,Europe,737.0,26894.0,94.0
99.0,Paraguay,3342,,27.0,,1379.0,,1936.0,12.0,468.0,4.0,98088.0,13745.0,7136064.0,South America,2135.0,264299.0,73.0
100.0,Thailand,3239,3.0,58.0,,3096.0,1.0,85.0,1.0,46.0,0.8,603657.0,8647.0,69807873.0,Asia,21552.0,1203584.0,116.0
101.0,Nicaragua,3147,,99.0,,2282.0,,766.0,,475.0,15.0,,,6627742.0,North America,2106.0,66947.0,
