action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
0,-50.0,-10,-5000,-80.14418475400885,-5140.144184754009,7.5
0,-50.0,-10,-5000,-79.93622007987247,-5139.936220079872,0.0
6,-50.0,-10,-5000,-79.61441563554506,-5139.614415635545,10.0
2,-12.5,-10,-5000,-79.2045887627243,-5101.704588762725,7.5
4,-12.5,-10,-5000,-78.62115963328466,-5101.121159633285,10.0
5,-25.0,-10,-5000,-77.83981278435293,-5112.839812784353,15.0
5,-25.0,-10,-5000,-76.85011032331047,-5111.85011032331,20.0
2,-12.5,-10,-5000,-75.64106475286994,-5098.14106475287,17.5
4,-12.5,-10,-5000,-74.04841367266015,-5096.54841367266,20.0
5,-25.0,-10,-5000,-72.10303239719646,-5107.103032397196,25.0
2,-12.5,-10,-5000,-69.87870070436489,-5092.378700704365,22.5
6,-50.0,-10,-5000,-67.13901006517945,-5127.13901006518,32.5
1,-25.0,-10,-5000,-64.39143668331037,-5099.3914366833105,27.5
0,-50.0,-10,-5000,-61.09100601488159,-5121.091006014882,17.5
5,-25.0,-10,-5000,-56.89298295530471,-5091.892982955304,22.5
3,0.0,-10,-5000,-52.590488492746445,-5062.590488492747,22.5
5,-25.0,-10,-5000,-48.07846431756691,-5083.078464317567,27.5
2,-12.5,-10,-5000,-43.811110185967024,-5066.311110185967,25.0
3,0.0,-10,-5000,-39.485637990019804,-5049.48563799002,25.0
3,0.0,10,-5000,84.44576157408376,-4905.554238425916,25.0
2,-12.5,10,-5000,84.58225101635948,-4917.91774898364,22.5
5,-25.0,10,-5000,168.97807015308885,-4846.021929846911,27.5
6,-50.0,10,-5000,171.4407264032564,-4868.559273596744,37.5
0,-50.0,10,-5000,168.97807015308885,-4871.021929846911,27.5
2,-12.5,10,-5000,168.89152314816752,-4833.608476851832,25.0
6,-50.0,10,-5000,170.65547117256705,-4869.344528827433,35.0
0,-50.0,10,-5000,168.89152314816752,-4871.108476851832,25.0
2,-12.5,10,-5000,169.16450203271896,-4833.335497967281,22.5
2,-12.5,10,-5000,169.8709463399556,-4832.6290536600445,20.0
1,-25.0,10,-5000,172.879989355334,-4842.120010644666,15.0
1,-25.0,10,-5000,178.51016846000164,-4836.489831539999,10.0
6,-50.0,10,-5000,169.8709463399556,-4870.1290536600445,20.0
1,-25.0,10,-5000,172.879989355334,-4842.120010644666,15.0
0,-50.0,10,-5000,187.35299991965724,-4852.647000080343,5.0
5,-25.0,10,-5000,178.51016846000164,-4836.489831539999,10.0
3,0.0,10,-5000,178.51016846000164,-4811.489831539999,10.0
0,-50.0,10,-5000,200.0,-4840.0,0.0
4,-12.5,10,-5000,193.16400911563667,-4809.335990884363,2.5
3,0.0,10,-5000,193.16400911563667,-4796.835990884363,2.5
3,0.0,10,-5000,193.16400911563667,-4796.835990884363,2.5
5,-25.0,10,-5000,182.4930328788498,-4832.50696712115,7.5
2,-12.5,10,-5000,187.35299991965724,-4815.147000080343,5.0
3,0.0,10,-5000,187.35299991965724,-4802.647000080343,5.0
1,-25.0,10,-5000,200.0,-4815.0,0.0
0,-50.0,10,-5000,200.0,-4840.0,0.0
2,-12.5,10,-5000,200.0,-4802.5,0.0
2,-12.5,10,-5000,200.0,-4802.5,0.0
5,-25.0,10,-5000,187.35299991965724,-4827.647000080343,5.0
6,-50.0,10,-5000,172.879989355334,-4867.120010644666,15.0
6,-50.0,10,-5000,168.89152314816752,-4871.108476851832,25.0
1,-25.0,10,-5000,169.8709463399556,-4845.1290536600445,20.0
5,-25.0,10,-5000,168.89152314816752,-4846.108476851832,25.0
3,0.0,10,-5000,168.89152314816752,-4821.108476851832,25.0
1,-25.0,10,-5000,169.8709463399556,-4845.1290536600445,20.0
6,-50.0,10,-5000,169.35020351427096,-4870.649796485729,30.0
2,-12.5,10,-5000,168.97807015308885,-4833.521929846911,27.5
4,-12.5,10,-5000,169.35020351427096,-4833.149796485729,30.0
