action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
4,-12.5,-10,20,-80.64377789639181,-83.14377789639181,92.5
3,0.0,-10,20,-80.64355190902404,-70.64355190902404,92.5
4,-12.5,-10,20,-80.64335417041593,-83.14335417041593,95.0
0,-50.0,-10,20,-80.64318468121587,-120.64318468121587,85.0
5,-25.0,-10,20,-80.64304343712152,-95.64304343712152,90.0
1,-25.0,-10,20,-80.64293044283647,-95.64293044283647,85.0
3,0.0,-10,20,-80.64284569532961,-70.64284569532961,85.0
2,-12.5,-10,20,-80.64278919472201,-83.14278919472201,82.5
5,-25.0,-10,20,-80.6427609424534,-95.6427609424534,87.5
4,-12.5,-10,20,-80.64276093934922,-83.14276093934922,90.0
0,-50.0,-10,20,-80.64276093703236,-120.64276093703236,80.0
6,-50.0,-10,20,-80.64276093262676,-120.64276093262674,90.0
0,-50.0,-10,20,-80.6427609305315,-120.6427609305315,80.0
6,-50.0,-10,20,-80.64276092654707,-120.64276092654706,90.0
3,0.0,-10,20,-80.64276092465208,-70.64276092465208,90.0
4,-12.5,-10,20,-80.64276092289559,-83.14276092289559,92.5
6,-50.0,-10,20,-80.64276092168217,-120.64276092168217,100.0
2,-12.5,-10,20,-80.64276092168217,-83.14276092168217,97.5
1,-25.0,-10,20,-80.64276092136033,-95.64276092136033,92.5
6,-50.0,-10,20,-80.64276092048816,-120.64276092048817,100.0
0,-50.0,-10,20,-80.64276092048816,-120.64276092048817,90.0
3,0.0,-10,20,-80.64276091954513,-70.64276091954513,90.0
2,-12.5,-10,20,-80.64276091867106,-83.14276091867106,87.5
1,-25.0,-10,20,-80.64276091765181,-95.64276091765181,82.5
0,-50.0,-10,20,-80.64276091629502,-120.642760916295,72.5
6,-50.0,-10,20,-80.6427609141879,-120.6427609141879,82.5
2,-12.5,-10,20,-80.64276091286271,-83.14276091286271,80.0
4,-12.5,-10,20,-80.64276091139453,-83.14276091139453,82.5
3,0.0,-10,20,-80.64276091014905,-70.64276091014905,82.5
0,-50.0,-10,20,-80.64276090894937,-120.64276090894936,72.5
6,-50.0,-10,20,-80.64276090708631,-120.64276090708631,82.5
4,-12.5,-10,20,-80.6427609059146,-83.1427609059146,85.0
1,-25.0,-10,20,-80.64276090495326,-95.64276090495326,80.0
1,-25.0,-10,20,-80.6427609037187,-95.6427609037187,75.0
0,-50.0,-10,20,-80.64276090219369,-120.64276090219369,65.0
4,-12.5,-10,20,-80.64276090000071,-83.14276090000071,67.5
4,-12.5,-10,20,-80.64276089786884,-83.14276089786884,70.0
2,-12.5,-10,20,-80.64276089583485,-83.14276089583485,67.5
5,-25.0,-10,20,-80.64276089355717,-95.64276089355717,72.5
0,-50.0,-10,20,-80.64276089157799,-120.642760891578,62.5
