action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
4,-12.5,-10,20,-80.56310272281321,-83.06310272281321,92.5
6,-50.0,-10,20,-80.5630973398008,-120.5630973398008,100.0
6,-50.0,-10,20,-80.56309733979293,-120.56309733979293,100.0
0,-50.0,-10,20,-80.5630973397897,-120.56309733978969,90.0
3,0.0,-10,20,-80.56309221456178,-70.56309221456178,90.0
3,0.0,-10,20,-80.56308746412925,-70.56308746412925,90.0
4,-12.5,-10,20,-80.56308306108632,-83.06308306108632,92.5
0,-50.0,-10,20,-80.5630800195602,-120.5630800195602,82.5
5,-25.0,-10,20,-80.5630733586629,-95.5630733586629,87.5
0,-50.0,-10,20,-80.56306883391757,-120.56306883391755,77.5
2,-12.5,-10,20,-80.56306099058801,-83.06306099058801,75.0
0,-50.0,-10,20,-80.56305232367379,-120.56305232367379,65.0
0,-50.0,-10,20,-80.56303986267034,-120.56303986267034,55.0
0,-50.0,-10,20,-80.5630225406336,-120.5630225406336,45.0
4,-12.5,-10,20,-80.56299844206188,-83.06299844206188,47.5
3,0.0,-10,20,-80.56297176951125,-70.56297176951125,47.5
4,-12.5,-10,20,-80.56294103480326,-83.06294103480326,50.0
0,-50.0,-10,20,-80.56290752585102,-120.56290752585102,40.0
1,-25.0,-10,20,-80.56286056300551,-95.56286056300551,35.0
3,0.0,-10,20,-80.56279883173866,-70.56279883173866,35.0
3,0.0,-10,20,-80.56272299555508,-70.56272299555508,35.0
3,0.0,-10,20,-80.56262983168182,-70.56262983168182,35.0
1,-25.0,-10,20,-80.56251538099858,-95.56251538099858,30.0
1,-25.0,-10,20,-80.56236194147681,-95.56236194147681,25.0
4,-12.5,-10,20,-80.56215196011934,-83.06215196011934,27.5
5,-25.0,-10,20,-80.56189123935981,-95.56189123935981,32.5
0,-50.0,-10,20,-80.56158545279062,-120.56158545279061,22.5
6,-50.0,-10,20,-80.56113679006371,-120.5611367900637,32.5
6,-50.0,-10,20,-80.56063845663951,-120.56063845663951,42.5
