,date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled,total_cases_worldometer,total_recovered_worldometer,active_cases_worldometer,N,S,I,R,S_modelled,I_modelled,R_modelled,r_eff_modelled,r_eff_actual,S_modelled_with_lockdown,I_modelled_with_lockdown,R_modelled_with_lockdown,r_eff_modelled_with_lockdown,r_eff_actual_with_lockdown,S_modelled_with_lockdown_with_vaccination,I_modelled_with_lockdown_with_vaccination,R_modelled_with_lockdown_with_vaccination,r_eff_modelled_with_lockdown_with_vaccination,r_eff_actual_with_lockdown_with_vaccination,nu_varying_with_time,S_modelled_with_lockdown_with_vaccination_time_varying_nu,I_modelled_with_lockdown_with_vaccination_time_varying_nu,R_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_actual_with_lockdown_with_vaccination_time_varying_nu,gdp_min_max_normalized,gdp_normalized_modelled_min_max_normalized
412,2021-06-17,81.94,29700313.0,381903.0,262970250.0,1417173120.0,48417061.0,96.21634019806284,94.90443225742592,29700313,28491670.0,826712.0,1417173120.0,1310564076.0,1208643.0,76908731.0,1320841535.3165197,39719182.547916174,56603335.13556442,1.642305224634432,1.6295264584613627,1229156949.3406787,11411109.303462984,176595993.355862,3.8601613688304233,4.115820050698804,1232066090.824576,9861814.686852194,175236146.4885682,3.866026111348499,4.112340219525384,0.0006631284904479971,1333528520.2162924,726236.0525353524,82909295.7311728,3.7956690582657346,3.7303045542220468,0.6602176374375756,0.5735082226263155
413,2021-06-18,81.94,29762793.0,383490.0,266355940.0,1417173120.0,48812947.0,96.27794052232096,94.90443225742592,29762793,28580647.0,798625.0,1417173120.0,1310016733.0,1182146.0,77393594.0,1319272519.4449859,40332256.4446801,57559277.110334374,1.6403543449153621,1.628845904250632,1228449505.9424694,11103488.532616423,177611057.52491784,3.857939646309254,4.114101122692715,1231405941.2495122,9591691.792512195,176166418.95797196,3.863954667686833,4.110622744833384,0.0006952647227048865,1332582502.887368,697743.3203461838,83883805.79228665,3.7929763759199537,3.728746632619425,0.6642890573163306,0.5735082226263155
414,2021-06-19,81.94,29823546.0,385137.0,270908312.0,1417173120.0,49415053.0,96.33954084657913,94.90443225742592,29823546,28678390.0,759989.0,1417173120.0,1309256131.0,1145156.0,78093443.0,1317681230.0084627,40952871.52590467,58529951.46563308,1.638375770736983,1.6279001885042175,1227761536.9343576,10803775.097400311,178598739.96824574,3.8557790830146397,4.111712455843433,1230763244.1778767,9328651.06401091,177072156.75810847,3.8619379871863844,4.108236097546974,0.000727400954961776,1331596791.7369163,670326.1333989175,84896934.12968674,3.7901707116559833,3.7265817044358216,0.6683604771950884,0.5735082226263155
415,2021-06-20,81.94,29881965.0,386713.0,274286599.0,1417173120.0,49745316.0,96.40114117083726,94.90443225742592,29881965,28766009.0,729216.0,1417173120.0,1308779830.0,1115956.0,78511325.0,1316067456.8113825,41581057.51489234,59515538.673725456,1.636369240746764,1.6273079663489602,1227092519.5141702,10511786.984288793,179559745.50154465,3.85367803708892,4.1102166348897935,1230137524.0149343,9072524.045038203,177954003.9400237,3.8599745775070278,4.10674154127554,0.0007595371872186655,1330571390.1132588,643943.9478015265,85948717.93894143,3.7872520750042664,3.7252259921726685,0.6724318970738443,0.5735082226263155
416,2021-06-21,81.94,29935221.0,388135.0,283313942.0,1417173120.0,50569129.0,96.4627414950954,94.90443225742592,29972809,28911454.0,672097.0,1417173120.0,1307719728.0,1061355.0,79480583.0,1314430991.112478,42216841.99356103,60516219.89396145,1.6343344954004178,1.625989858910108,1226441944.1722164,10227345.184067182,180494762.64372,3.8516349084194115,4.1068873897599385,1229528317.492697,8823145.321658142,178812589.1856411,3.858062984987995,4.103415110945858,0.0007916734194755549,1329506304.1055617,618557.8330393014,87039190.06140038,3.784220483296613,3.7222085866211527,0.6765033169526004,0.5735082226263155
417,2021-06-22,81.94,29977861.0,389302.0,289855456.0,1417173120.0,51269269.0,96.52434181935354,94.90443225742592,29977861,28926038.0,662521.0,1417173120.0,1306999952.0,1051823.0,80195307.0,1312771625.7891126,42860250.298013754,61532176.91287413,1.6322712771662282,1.6250949053113912,1225809314.3809412,9950273.686014554,181404463.933048,3.8496481376637632,4.104626936763353,1228935173.3769011,8580352.505417837,179648526.1176772,3.856201793728422,4.101156569110282,0.0008238096517324443,1328401542.4209986,594130.3768871296,88168379.20211618,3.781075961316555,3.7201598629150863,0.6805747368313563,0.5735082226263155
418,2021-06-23,81.94,30028709.0,390660.0,293370338.0,1417173120.0,51649818.0,96.58594214361167,94.90443225742592,30028709,28994855.0,643163.0,1417173120.0,1306499738.0,1033854.0,80644673.0,1311089155.4585562,43511305.447228186,62563592.09421602,1.6301793306758392,1.624472950259502,1225194146.3139699,9680399.51498839,182289506.17104545,3.8477162053676195,4.103056017150537,1228357652.196502,8343986.252061536,180462413.55143264,3.854389624738538,4.099586977673861,0.0008559458839893338,1327257121.5279102,570625.628772203,89336304.84331936,3.7778185559385107,3.718736086240251,0.6846461567101123,0.5735082226263155
419,2021-06-24,81.94,30082778.0,391981.0,300054027.0,1417173120.0,52401833.0,96.64754246786984,94.90443225742592,30082778,29063740.0,627024.0,1417173120.0,1305624769.0,1019038.0,81465573.0,1309383376.6200645,44170028.057577915,63610648.32235792,1.6280584029009155,1.6233850331084494,1224595968.5664659,9417552.758990396,183150530.67454743,3.8458376310864044,4.100308181298869,1227795325.9772909,8113890.280291953,181254835.7424133,3.8526251351038048,4.096841465054196,0.0008880821162462231,1326073074.6935546,548009.0659547542,90542968.24049221,3.7744483618522437,3.7162456312481806,0.6887175765888701,0.5735082226263155
420,2021-06-25,81.94,30134445.0,393310.0,306661528.0,1417173120.0,53301621.0,96.70914279212796,94.90443225742592,30134445,29128267.0,612840.0,1417173120.0,1304608787.0,1006178.0,82429888.0,1307654087.800192,44836436.25624249,64673528.943565674,1.62590824333382,1.622121783504223,1224014321.8582246,9161566.54339416,183988163.5983849,3.844010972452887,4.097117494812551,1227247777.9565406,7889911.3179943,182026362.72546133,3.850907017089518,4.093653476219903,0.0009202183485031126,1324849424.4342368,526247.4850639903,91788380.08070105,3.770965443146704,3.713353806002081,0.6927889964676252,0.5735082226263155
421,2021-06-26,81.94,30183143.0,394493.0,314841384.0,1417173120.0,54588202.0,96.7707431163861,94.90443225742592,30183143,29193085.0,595534.0,1417173120.0,1303208690.0,990058.0,83781287.0,1305901089.701342,45510545.59354025,65752417.705118075,1.623728604172317,1.6203809337833335,1223448758.7616124,8912277.04785119,184803016.19054005,3.842234824322781,4.092720497053302,1226714602.320861,7671899.099087677,182777550.58004752,3.849233997318239,4.089260196021113,0.0009288506850600241,1323586219.392111,505308.99566217436,93072523.61222851,3.767369938273765,3.709368660742039,0.6968604163463811,0.5735082226263155
422,2021-06-27,81.94,30233183.0,395751.0,318030412.0,1417173120.0,55114099.0,96.83234344064424,94.90443225742592,30233183,29251029.0,586374.0,1417173120.0,1302574809.0,982154.0,84365128.0,1304124185.3535516,46192368.95421992,66847498.69222882,1.6215192405083003,1.6195927801326027,1222898843.435425,8669523.524985623,185595685.03959313,3.840507817938922,4.090729796882792,1226195403.9558556,7459706.381123664,183508941.66301712,3.847604835984258,4.087271178941803,0.0009374830216169356,1322314574.364816,485163.40984098444,94364314.22534522,3.7637504103746395,3.7075644229909543,0.7009318362251371,0.5735082226263155
423,2021-06-28,81.94,30279331.0,396730.0,321423578.0,1417173120.0,55877810.0,96.89394376490236,94.90443225742592,30279331,29309607.0,572963.0,1417173120.0,1301706372.0,969724.0,85187417.0,1302323180.2537568,46881916.47835705,67958956.26788647,1.619279910500952,1.6185129847262416,1222364151.3439002,8433148.262379019,186366752.39372453,3.8388286200488313,4.088002474745077,1225689798.1813002,7253188.897962525,184221064.9207336,3.8460183260226275,4.0845461626922175,0.0009461153581738471,1321034453.3791432,465782.1372168634,95663816.48364162,3.7601067570575246,3.7050925602598754,0.7050032561038921,0.5735082226263155
424,2021-06-29,81.94,30316897.0,397637.0,327423913.0,1417173120.0,57245912.0,96.95554408916053,94.90443225742592,30316897,29366601.0,552628.0,1417173120.0,1300243710.0,950296.0,86612513.0,1300497882.4867158,47579195.49580888,69086975.01747563,1.6170103755270941,1.6166943430646599,1221844268.9944875,8202996.578924546,187116786.4265916,3.837195932081183,4.08340899191029,1225197410.497486,7052205.329847798,184914436.17266232,3.844473292313229,4.079956563541499,0.0009547476947307585,1319745819.8497086,447137.57888538163,96971094.57140695,3.7564388741881527,3.700929334043161,0.70907467598265,0.5735082226263155
425,2021-06-30,81.94,30362848.0,398454.0,329158139.0,1417173120.0,57748116.0,97.01714441341866,94.90443225742592,30361699,29419497.0,543718.0,1417173120.0,1299643808.0,942202.0,87167613.0,1298648102.9546478,48284210.38873855,70231739.65661404,1.6147104004667177,1.615948438152885,1221338793.6802237,7978916.822745526,187846341.4970345,3.8356084893367353,4.08152500262257,1224717876.3421562,6856617.295804689,185589558.3620353,3.8429685909180717,4.078074167123383,0.00096338003128767,1318448638.4434736,429203.04893890244,98286210.50758824,3.7527466611968587,3.6992218119130587,0.7131460958614059,0.5735082226263155
426,2021-07-01,81.94,30411634.0,399459.0,334741649.0,1417173120.0,59048568.0,97.0787447376768,94.90443225742592,30411634,29488918.0,523241.0,1417173120.0,1298224000.0,922716.0,88537486.0,1296773655.5133576,48996962.518379144,71393434.96826366,1.6123797538722375,1.6141830802094592,1220847333.2260325,7760760.361280357,188555958.41269085,3.834065060191584,4.07706610256453,1224250840.8506985,6666289.339057513,186246921.8102402,3.8415031083288276,4.0736190369627705,0.0009720123678445815,1317142876.683391,411952.82725011295,99609222.48935895,3.749030025643082,3.695180562541501,0.7172175157401619,0.5735082226263155
427,2021-07-02,81.94,30458251.0,400312.0,335671794.0,1417173120.0,59332783.0,97.13491364480906,94.90443225742592,30458251,29548302.0,509637.0,1417173120.0,1297833784.0,909949.0,88881085.0,1294874357.1339333,49717450.135913715,72572245.73015341,1.6100182081695422,1.6136978942439963,1220369505.7368548,7548381.5524780415,189246164.71067098,3.8325644453061716,4.075840631131034,1223795958.6129365,6481088.867662795,186887004.51939693,3.840075760703669,4.072394601637181,0.000980644704401493,1315828504.9371228,395362.0545036554,100940185.00837362,3.7452888831832567,3.6940698770370024,0.7209299508258599,0.5735082226263155
428,2021-07-03,81.94,30502362.0,401050.0,344300590.0,1417173120.0,62069225.0,97.19108255194134,94.90443225742592,30544405,29649807.0,492586.0,1417173120.0,1294909683.0,894598.0,91719032.0,1292950028.0700786,50445668.29093217,73768356.63898964,1.6076255398660526,1.6100621315720511,1219904939.3551102,7341637.73404587,189917474.91084766,3.83110547686359,4.066657506286958,1223352893.4419856,6300886.132742856,187510272.42526752,3.8386854931419845,4.063219240913915,0.0009892770409584044,1314505493.2322319,379406.7348711546,102279152.0328972,3.741523148505783,3.685746905671423,0.7246423859115588,0.5735082226263155
429,2021-07-04,81.94,30545433.0,402005.0,347378550.0,1417173120.0,62923284.0,97.2472514590736,94.90443225742592,30545433,29658078.0,485340.0,1417173120.0,1294046325.0,887355.0,92581362.0,1291000492.0281699,51181608.739465654,74981952.23236492,1.6052015297621665,1.6089886512822373,1219453272.000022,7140389.165531185,190570390.8344506,3.829687017750937,4.063946134723825,1222921318.1474357,6125554.2189780595,188117179.63358235,3.837331278972657,4.060510161753065,0.0009979093775153158,1313173820.3807006,364063.72248895885,103626167.89681081,3.7377327613024636,3.6832894994764094,0.7283548209972569,0.5735082226263155
430,2021-07-05,81.94,30585229.0,402728.0,351229497.0,1417173120.0,64477739.0,97.30342036620586,94.90443225742592,30585229,29700430.0,482041.0,1417173120.0,1292409722.0,884799.0,94178169.0,1289025576.3399906,51925259.851671144,76213216.80833864,1.6027459631660328,1.6069537352187382,1219014151.140917,6944499.021777724,191205401.83730885,3.8283079608473627,4.058806391031938,1222500914.310202,5954968.98733897,188708168.7024553,3.8360121190475835,4.055374763596237,0.0010065417140722272,1311833463.3384478,349310.67140602274,104981277.99014686,3.73391765598212,3.6786311788828936,0.7320672560829549,0.5735082226263155
