stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
74.54,28364.0,1009.0,5.0,38454328.0,1.0,
74.54,30081.0,1191.0,5.0,38454328.0,1.0,
74.54,31872.0,1306.0,5.0,38454328.0,1.0,
74.54,33340.0,1464.0,5.0,38454328.0,1.0,
74.54,34776.0,1577.0,5.0,38454328.0,1.0,
74.54,36822.0,1687.0,5.0,38454328.0,1.0,
74.54,38412.0,1831.0,5.0,38454328.0,1.0,
74.54,40179.0,1971.0,5.0,38454328.0,1.0,
74.54,42099.0,2143.0,5.0,38454328.0,1.0,
74.54,43877.0,2299.0,5.0,38454328.0,1.0,
74.54,45341.0,2461.0,5.0,38454328.0,1.0,
74.54,46884.0,2555.0,5.0,38454328.0,1.0,
74.54,48489.0,2701.0,5.0,38454328.0,1.0,
74.54,50015.0,2853.0,5.0,38454328.0,1.0,
74.54,51587.0,2990.0,5.0,38454328.0,1.0,88.1100663511556
74.54,53225.0,3176.0,5.0,38454328.0,1.0,
74.54,55050.0,3382.0,5.0,38454328.0,1.0,
74.54,56703.0,3556.0,5.0,38454328.0,1.0,
74.54,59463.0,3671.0,5.0,38454328.0,1.0,
74.54,60761.0,3843.0,5.0,38454328.0,1.0,
74.54,62035.0,4031.0,5.0,38454328.0,1.0,
74.54,63484.0,4220.0,5.0,38454328.0,1.0,
74.54,64910.0,4395.0,5.0,38454328.0,1.0,
74.54,66422.0,4556.0,5.0,38454328.0,1.0,
72.69,67690.0,4679.0,5.0,38454328.0,1.0,
72.69,68836.0,4857.0,5.0,38454328.0,1.0,
72.69,69969.0,4979.0,5.0,38454328.0,1.0,
72.69,71144.0,5155.0,5.0,38454328.0,1.0,
72.69,72265.0,5288.0,5.0,38454328.0,1.0,
72.69,73476.0,5456.0,5.0,38454328.0,1.0,
72.69,74602.0,5546.0,5.0,38454328.0,1.0,
72.69,75853.0,5663.0,5.0,38454328.0,1.0,
72.69,76991.0,5766.0,5.0,38454328.0,1.0,
72.69,78061.0,5826.0,5.0,38454328.0,1.0,
72.69,79101.0,5895.0,5.0,38454328.0,1.0,
72.69,80112.0,6013.0,5.0,38454328.0,1.0,
72.69,81313.0,6135.0,5.0,38454328.0,1.0,
70.83,82469.0,6232.0,5.0,38454328.0,1.0,
70.83,83610.0,6335.0,5.0,38454328.0,1.0,
70.83,84688.0,6404.0,5.0,38454328.0,1.0,
70.83,85700.0,6525.0,5.0,38454328.0,1.0,
70.83,86636.0,6619.0,5.0,38454328.0,1.0,
70.83,87508.0,6745.0,5.0,38454328.0,1.0,
70.83,88501.0,6857.0,5.0,38454328.0,1.0,
70.83,89407.0,6959.0,5.0,38454328.0,1.0,
70.83,90179.0,7053.0,5.0,38454328.0,1.0,90.4900879240758
70.83,90936.0,7275.0,5.0,38454328.0,1.0,
70.83,91694.0,7306.0,5.0,38454328.0,1.0,
70.83,92399.0,7375.0,5.0,38454328.0,1.0,
70.83,93074.0,7478.0,5.0,38454328.0,1.0,
70.83,93715.0,7617.0,5.0,38454328.0,1.0,
70.83,94324.0,7683.0,5.0,38454328.0,1.0,
70.83,95046.0,7750.0,5.0,38454328.0,1.0,
70.83,95688.0,7776.0,5.0,38454328.0,1.0,
70.83,96233.0,7811.0,5.0,38454328.0,1.0,
70.83,96642.0,7871.0,5.0,38454328.0,1.0,
70.83,97114.0,7933.0,5.0,38454328.0,1.0,
70.83,97519.0,7968.0,5.0,38454328.0,1.0,
70.83,97932.0,8021.0,5.0,38454328.0,1.0,
70.83,98399.0,8079.0,5.0,38454328.0,1.0,
70.83,98776.0,8118.0,5.0,38454328.0,1.0,
70.83,99136.0,8147.0,5.0,38454328.0,1.0,
70.83,99456.0,8185.0,5.0,38454328.0,1.0,
