,date,stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized,gdp_normalized_modelled,total_cases_worldometer,total_recovered_worldometer,N,S,I,R,S_modelled,I_modelled,R_modelled,r_eff_modelled,r_eff_actual,S_modelled_with_lockdown,I_modelled_with_lockdown,R_modelled_with_lockdown,r_eff_modelled_with_lockdown,r_eff_actual_with_lockdown,S_modelled_with_lockdown_with_vaccination,I_modelled_with_lockdown_with_vaccination,R_modelled_with_lockdown_with_vaccination,r_eff_modelled_with_lockdown_with_vaccination,r_eff_actual_with_lockdown_with_vaccination,nu_varying_with_time,S_modelled_with_lockdown_with_vaccination_time_varying_nu,I_modelled_with_lockdown_with_vaccination_time_varying_nu,R_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_modelled_with_lockdown_with_vaccination_time_varying_nu,r_eff_actual_with_lockdown_with_vaccination_time_varying_nu,gdp_min_max_normalized,gdp_normalized_modelled_min_max_normalized
557,2021-11-09,47.98,34377113.0,461389.0,1092148139.0,1417173120.0,348163758.0,98.95770404711868,99.37260806538116,34374455,33763237.0,1417173120.0,1000871670.0,611218.0,381926995.0,855042826.3373635,155766809.00937825,406354417.6532584,1.0631413863310548,1.2444617532683,1029443056.4011793,58419390.070436925,329301605.52838403,1.681786243483609,1.6351095824405601,1041330582.676277,55490565.05151372,320342904.2722036,1.6997683922074407,1.6337271349023188,0.00409386737227441,1008260911.3599106,1294578.0004907225,407608562.63962406,1.5044057652272025,1.4933804272643223,0.8414056977987122,0.8688284181832795
558,2021-11-10,47.94,34388579.0,461849.0,1097806371.0,1417173120.0,352209127.0,98.95904677575808,99.3724837025254,34386786,33776053.0,1417173120.0,996801154.0,610733.0,385985180.0,851093897.2479191,155992737.36501297,410077418.3870681,1.05823137502243,1.2394005634775382,1020347934.7630153,62082465.893136986,334733651.34384817,1.6682094337814377,1.629711818932863,1032381256.8251923,59139787.45838054,325643007.71642154,1.6864561479314693,1.628333935079498,0.004200384874343884,1003914509.1705297,1370561.6537546264,411878981.17574096,1.499072389807948,1.4884505348216612,0.8414944442808139,0.8688201985284447
559,2021-11-11,47.9,34401670.0,462189.0,1102775592.0,1417173120.0,355903367.0,98.96038950439753,99.37235316291267,34388422,33776802.0,1417173120.0,993104529.0,611620.0,389680169.0,847157747.9990985,156200704.3308686,413805600.670033,1.0533372538856884,1.234804261507401,1010769255.9257427,65892131.06677208,340502665.0074855,1.653818578236454,1.6249155883621624,1022928710.6403072,62949471.41524126,331285869.9444457,1.6722987664775808,1.6235417596114137,0.0043069023764133576,999467008.9804472,1450111.7267843792,416246931.29279345,1.493577962756818,1.4840700352295542,0.8415831907629183,0.868811570626228
560,2021-11-12,47.84,34414186.0,462690.0,1111423316.0,1417173120.0,362243853.0,98.96173223303693,99.37214582219208,34414186,33814080.0,1417173120.0,986701001.0,600106.0,396057933.0,843234820.0293411,156390697.6127168,417538535.3579422,1.0484595717956462,1.226842256066701,1000700127.0038893,69842318.46364829,346621606.5324627,1.6392291065018079,1.6162973868068502,1012963257.3287127,66914772.35540003,337286022.3158816,1.6579142080481246,1.614930844547265,0.004413419878482832,994919295.7126453,1533306.3860262802,420711449.9013537,1.488494201163961,1.4761988480876427,0.84167193724502,0.8687978666215549
561,2021-11-13,47.79,34426036.0,463245.0,1119180353.0,1417173120.0,367698745.0,98.96307496167634,99.37196251712128,34426036,33826483.0,1417173120.0,981221856.0,599553.0,401525228.0,839325546.4215827,156562713.4693969,421275793.1090206,1.0435988672380714,1.2200296080544826,990131865.1612198,73929198.8383888,353102988.00039184,1.6234721765925946,1.6088628578994022,1002473445.3179884,71032956.51964109,343657650.1623647,1.6423183618384278,1.6075026013629863,0.004519937380552305,990272122.1682367,1620321.8682924018,425271607.96349585,1.482961775514058,1.4694087344001296,0.8417606837271225,0.8687857512322588
562,2021-11-14,49.82,34437307.0,463530.0,1122889436.0,1417173120.0,370227215.0,98.96441769031576,99.37125541406294,34437307,33837859.0,1417173120.0,978670739.0,599448.0,404065074.0,835430351.7586477,156716756.6571279,425016944.58422464,1.0387556681298806,1.216857605459372,979064253.0705082,78141174.61836195,359958624.3111299,1.5429077852777195,1.5422876462816328,991456257.7368534,75293463.0840356,350414331.17910516,1.5611153468668388,1.5409836775551575,0.004626454882621779,985526510.5203068,1711182.6491251492,429926358.8305931,1.4184717104815723,1.4086041748533866,0.8418494302092251,0.8687390158703481
563,2021-11-15,49.78,34447536.0,463655.0,1126981490.0,1417173120.0,373048684.0,98.96576041895518,99.3714399488027,34447536,33849785.0,1417173120.0,975827115.0,597751.0,406898469.0,831549651.9880614,156852840.36671874,428761560.6452199,1.0339304916510503,1.2133219061137448,967987905.1114963,81997727.62974437,367178419.2587595,1.5266685481840079,1.5390322100812224,980398651.2931421,79217938.55168572,357547462.1551658,1.5449349266394465,1.5377309937511674,0.004732972384691253,980696006.5073403,1793939.5058747767,434674105.98681,1.4126443140982134,1.4056309155953473,0.8419381766913286,0.8687512125335447
564,2021-11-16,49.73,34456401.0,463852.0,1133688213.0,1417173120.0,377635526.0,98.9671031475946,99.37166045179345,34456401,33861756.0,1417173120.0,971219437.0,594645.0,411497282.0,827683854.2962525,156970986.1540181,432509212.54972965,1.0291238440882022,1.2075928209430398,956499056.2965473,85916122.80236256,374748872.9010905,1.5100507743314124,1.5332902350850572,968898867.8324924,83220304.26854128,365044879.89896,1.528333425975696,1.5319938734627745,0.004839489886760726,975771554.5771743,1879436.6988858005,439513060.7239653,1.4069502770936242,1.400386647464819,0.8420269231734312,0.8687657864870205
565,2021-11-17,49.67,34466598.0,464153.0,1141006707.0,1417173120.0,382755102.0,98.96844587623404,99.37191020514656,34466598,33873890.0,1417173120.0,966077530.0,592708.0,416628992.0,823833357.0256523,157071223.75527623,436259472.2190717,1.0243362207315276,1.2011994872198837,944604729.2240864,89884288.74380168,382675034.03211164,1.493052796330149,1.5269929453169668,956962187.7084148,87288658.23717809,372913206.0544006,1.5113062774401238,1.5257019079083216,0.0049460073888302,970754293.2543243,1967717.2643470704,444442041.481354,1.401386601431219,1.3946351985188457,0.8421156696555356,0.8687822937177683
566,2021-11-18,49.6,34478517.0,464623.0,1148786886.0,1417173120.0,388254602.0,98.96978860487344,99.37218120646315,34478517,33885132.0,1417173120.0,960554869.0,593385.0,422139734.0,819998549.565454,157153591.01185295,440011912.4226932,1.0195681057389583,1.1943327323733144,932314321.050211,93888944.74137866,390960786.20840967,1.475675989741213,1.520375398090637,944596482.4526559,91409684.36936381,381157885.1779737,1.4938522253758004,1.5190899556659427,0.005052524890899674,965645366.623338,2058823.9264279883,449459861.4502588,1.395950144574353,1.388591251611295,0.8422044161376373,0.8688002053141897
567,2021-11-19,49.57,34489623.0,465082.0,1153595556.0,1417173120.0,391426273.0,98.97113133351289,99.37229066063472,34489623,33897921.0,1417173120.0,957359303.0,591702.0,425324194.0,816179812.2191086,157218133.8944296,443766106.88646203,1.0148199719714153,1.1903594361094243,919639615.1646559,97915644.48704918,399608792.3482942,1.4564807816204104,1.516219400439113,931812270.6214011,95568689.65027258,389783091.72831875,1.4745115246049072,1.5149374718148296,0.005159042392969148,960445953.015496,2152799.1973396516,454565299.78718877,1.3892602498661406,1.3847954903881983,0.8422931626197417,0.8688074395925037
568,2021-11-20,49.48,34499925.0,465349.0,1163685005.0,1417173120.0,398320160.0,98.97247406215229,99.37259506428045,34499925,33909708.0,1417173120.0,950443327.0,590217.0,432229868.0,812377516.1407434,157264906.3282443,447521630.53101254,1.010092280913752,1.1817602641311409,906608523.1959443,101935769.13979626,408619759.6642588,1.438405247534995,1.5079525882043188,918636635.2126827,99736432.21408248,398790984.5732273,1.456256513660373,1.5066776489796117,0.005265559895038622,955157609.4270582,2249333.740923895,459757108.83204275,1.3840764919973223,1.3772452346011308,0.8423819091018434,0.8688275588868307
569,2021-11-21,49.45,34510413.0,465662.0,1168057227.0,1417173120.0,401069205.0,98.9738167907917,99.3726885780913,34510413,33922037.0,1417173120.0,947671465.0,588376.0,434991242.0,808592023.2603776,157293970.07893798,451278059.6606846,1.0053854825817694,1.178313792073102,893225897.2739624,105945250.1541085,417992904.5719281,1.4180142175053192,1.5044476598755985,905073733.6984572,103908191.82849424,408182126.47304094,1.4356080972755652,1.5031756839871668,0.005372077397108095,949781245.2020767,2348792.0111537743,465034014.7867944,1.3771031131350635,1.3740441088654096,0.8424706555839461,0.8688337396008615
570,2021-11-22,57.72,34518901.0,465911.0,1175843376.0,1417173120.0,406246823.0,98.97515951943112,99.16321023005484,34518901,33934547.0,1417173120.0,942472849.0,584354.0,440181370.0,804823686.2187281,157305394.63168645,455034972.14958566,1.000700015441155,1.1718499476304587,879530802.4153589,109907593.40990616,427725656.17473376,1.1678421653792617,1.251416698272194,891162642.9266293,108046222.83727191,417955186.2360917,1.1822864967431086,1.2503586542411278,0.005478594899177569,944318651.7040635,2450684.3488125564,470394715.94714785,1.1451839613289128,1.142945539320985,0.8425594020660486,0.8549884503002629
571,2021-11-23,57.66,34526480.0,466147.0,1183947210.0,1417173120.0,411731500.0,98.97650224807056,99.1662983534891,34526480,33946749.0,1417173120.0,936968391.0,579731.0,445678249.0,801072848.3115147,157299257.06390274,458791947.6245827,0.9960363063382328,1.1650058259924951,867948060.2862422,111506378.26964536,437709613.44411105,1.154098057000759,1.2458733984238712,879371108.7155912,109793868.22211136,427999075.06229067,1.1682985149023575,1.2448200411253096,0.005496233190298098,938839062.2844889,2490570.655698777,475834419.05983627,1.1401545251689493,1.137882725436923,0.8426481485481531,0.8551925571339475
572,2021-11-24,57.58,34535763.0,466584.0,1193769229.0,1417173120.0,418692797.0,98.97784497670996,99.170374760324,34535763,33957698.0,1417173120.0,929986862.0,578065.0,452650495.0,797339843.4259481,157275641.9320855,462548567.6419665,0.9913947704209943,1.156325146860241,856343528.0467397,112988020.41877393,447832503.5344853,1.140819151442601,1.238926655030083,867540022.6622223,111425939.86611447,438198089.47165656,1.1547579519461666,1.2378791710432595,0.005513871481418627,933369262.3783733,2529657.979669835,481265131.64198077,1.135653567216221,1.1315381166541731,0.8427368950302547,0.85546198369982
573,2021-11-25,57.54,34544882.0,466980.0,1198528642.0,1417173120.0,422012731.0,98.9791877053494,99.1723954048294,34544882,33967962.0,1417173120.0,926647545.0,576920.0,455980693.0,793624995.9850136,157234641.15458837,466304415.8603982,0.9867758110698224,1.152173113774382,844728213.9655509,114352093.32314636,458083744.7113017,1.1264063989609534,1.2356420763661444,855681342.7040228,112941174.74612938,448541534.54984117,1.1400471953550602,1.2345973694150236,0.005531509772539156,927909375.5921534,2568042.8883783165,486686633.51949203,1.1300749893034854,1.128538240963142,0.8428256415123592,0.8555955364417299
