stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
67.59,235763.0,34114.0,7191.0,59037472.0,9.0,
67.59,236142.0,34167.0,7191.0,59037472.0,9.0,
67.59,236305.0,34223.0,7191.0,59037472.0,9.0,
67.59,236651.0,34301.0,7191.0,59037472.0,9.0,
67.59,236989.0,34345.0,7191.0,59037472.0,9.0,
67.59,237290.0,34371.0,7191.0,59037472.0,9.0,
67.59,237500.0,34405.0,7191.0,59037472.0,9.0,
67.59,237828.0,34448.0,7191.0,59037472.0,9.0,
67.59,238159.0,34514.0,7191.0,59037472.0,9.0,
67.59,238410.0,34561.0,7191.0,59037472.0,9.0,
67.59,238674.0,34610.0,7191.0,59037472.0,9.0,
67.59,238898.0,34634.0,7191.0,59037472.0,9.0,
67.59,239119.0,34657.0,7191.0,59037472.0,9.0,
67.59,239232.0,34675.0,7191.0,59037472.0,9.0,
67.59,239809.0,34684.0,7191.0,59037472.0,9.0,
67.59,240105.0,34698.0,7191.0,59037472.0,9.0,
67.59,240360.0,34708.0,7191.0,59037472.0,9.0,
67.59,240535.0,34716.0,7191.0,59037472.0,9.0,
67.59,240709.0,34738.0,7191.0,59037472.0,9.0,
67.59,240835.0,34744.0,7191.0,59037472.0,9.0,
67.59,240977.0,34767.0,7191.0,59037472.0,9.0,92.0344023567595
67.59,241159.0,34788.0,7191.0,59037472.0,9.0,
67.59,241360.0,34818.0,7191.0,59037472.0,9.0,
67.59,241583.0,34833.0,7191.0,59037472.0,9.0,
67.59,241818.0,34854.0,7191.0,59037472.0,9.0,
67.59,242010.0,34861.0,7191.0,59037472.0,9.0,
67.59,242218.0,34869.0,7191.0,59037472.0,9.0,
67.59,242355.0,34899.0,7191.0,59037472.0,9.0,
67.59,242548.0,34914.0,7191.0,59037472.0,9.0,
67.59,242762.0,34926.0,7191.0,59037472.0,9.0,
67.59,243038.0,34938.0,7191.0,59037472.0,9.0,
67.59,243226.0,34945.0,7191.0,59037472.0,9.0,
67.59,243460.0,34954.0,7191.0,59037472.0,9.0,
67.59,243629.0,34967.0,7191.0,59037472.0,9.0,
67.59,243743.0,34984.0,7191.0,59037472.0,9.0,
67.59,243905.0,34997.0,7191.0,59037472.0,9.0,
67.59,244135.0,35017.0,7191.0,59037472.0,9.0,
67.59,244366.0,35028.0,7191.0,59037472.0,9.0,
67.59,244615.0,35042.0,7191.0,59037472.0,9.0,
67.59,244833.0,35045.0,7191.0,59037472.0,9.0,
67.59,245023.0,35058.0,7191.0,59037472.0,9.0,
67.59,245151.0,35073.0,7191.0,59037472.0,9.0,
67.59,245431.0,35082.0,7191.0,59037472.0,9.0,
67.59,245737.0,35092.0,7191.0,59037472.0,9.0,
67.59,245989.0,35097.0,7191.0,59037472.0,9.0,
67.59,246263.0,35102.0,7191.0,59037472.0,9.0,
63.89,246517.0,35107.0,7191.0,59037472.0,9.0,
63.89,246685.0,35112.0,7191.0,59037472.0,9.0,
63.89,246887.0,35123.0,7191.0,59037472.0,9.0,
63.89,247175.0,35129.0,7191.0,59037472.0,9.0,
63.89,247557.0,35132.0,7191.0,59037472.0,9.0,
64.81,247936.0,35141.0,7191.0,59037472.0,9.0,95.0299850084656
64.81,248231.0,35146.0,7191.0,59037472.0,9.0,
64.81,248469.0,35154.0,7191.0,59037472.0,9.0,
64.81,248628.0,35166.0,7191.0,59037472.0,9.0,
64.81,248818.0,35171.0,7191.0,59037472.0,9.0,
64.81,249202.0,35181.0,7191.0,59037472.0,9.0,
64.81,249603.0,35187.0,7191.0,59037472.0,9.0,
64.81,250155.0,35190.0,7191.0,59037472.0,9.0,
64.81,250502.0,35203.0,7191.0,59037472.0,9.0,
64.81,250965.0,35205.0,7191.0,59037472.0,9.0,
64.81,251224.0,35209.0,7191.0,59037472.0,9.0,
64.81,251636.0,35215.0,7191.0,59037472.0,9.0,
64.81,252112.0,35225.0,7191.0,59037472.0,9.0,
64.81,252634.0,35231.0,7191.0,59037472.0,9.0,
64.81,253208.0,35234.0,7191.0,59037472.0,9.0,
64.81,253837.0,35392.0,7191.0,59037472.0,9.0,
68.52,254314.0,35396.0,7191.0,59037472.0,9.0,
68.52,254634.0,35400.0,7191.0,59037472.0,9.0,
68.52,255035.0,35405.0,7191.0,59037472.0,9.0,
68.52,255677.0,35412.0,7191.0,59037472.0,9.0,
68.52,256517.0,35418.0,7191.0,59037472.0,9.0,
68.52,257464.0,35427.0,7191.0,59037472.0,9.0,
68.52,258535.0,35430.0,7191.0,59037472.0,9.0,
68.52,259744.0,35437.0,7191.0,59037472.0,9.0,
68.52,260697.0,35441.0,7191.0,59037472.0,9.0,
68.52,261573.0,35445.0,7191.0,59037472.0,9.0,
68.52,262939.0,35458.0,7191.0,59037472.0,9.0,
68.52,264348.0,35463.0,7191.0,59037472.0,9.0,
68.52,265808.0,35472.0,7191.0,59037472.0,9.0,
