stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
11.11,33.0,2.0,2677971.0,67508936.0,391399.0,
11.11,33.0,2.0,2677971.0,67508936.0,391399.0,
11.11,33.0,2.0,2677971.0,67508936.0,391399.0,
11.11,33.0,2.0,2677971.0,67508936.0,391399.0,
11.11,35.0,2.0,2677971.0,67508936.0,391399.0,
11.11,35.0,3.0,2677971.0,67508936.0,391399.0,
11.11,41.0,3.0,2677971.0,67508936.0,391399.0,
11.11,43.0,3.0,2677971.0,67508936.0,391399.0,
11.11,46.0,3.0,2677971.0,67508936.0,391399.0,
11.11,48.0,3.0,2677971.0,67508936.0,391399.0,
11.11,56.0,3.0,2677971.0,67508936.0,391399.0,
11.11,68.0,3.0,2677971.0,67508936.0,391399.0,93.3335476717799
11.11,72.0,3.0,2677971.0,67508936.0,391399.0,
11.11,92.0,3.0,2677971.0,67508936.0,391399.0,
11.11,133.0,4.0,2677971.0,67508936.0,391399.0,
11.11,191.0,4.0,2677971.0,67508936.0,391399.0,
11.11,247.0,5.0,2677971.0,67508936.0,391399.0,
11.11,296.0,7.0,2677971.0,67508936.0,391399.0,
11.11,379.0,9.0,2677971.0,67508936.0,391399.0,
11.11,447.0,9.0,2677971.0,67508936.0,391399.0,
11.11,502.0,11.0,2677971.0,67508936.0,391399.0,
11.11,650.0,16.0,2677971.0,67508936.0,391399.0,
11.11,915.0,19.0,2677971.0,67508936.0,391399.0,
12.96,1318.0,26.0,2677971.0,67508936.0,391399.0,
12.96,1802.0,39.0,2677971.0,67508936.0,391399.0,
12.96,2280.0,55.0,2677971.0,67508936.0,391399.0,
16.67,2632.0,76.0,2677971.0,67508936.0,391399.0,
22.22,3073.0,106.0,2677971.0,67508936.0,391399.0,
31.48,3675.0,156.0,2677971.0,67508936.0,391399.0,
31.48,4458.0,214.0,2677971.0,67508936.0,391399.0,
37.04,5442.0,287.0,2677971.0,67508936.0,391399.0,
47.22,6482.0,366.0,2677971.0,67508936.0,391399.0,
62.04,7735.0,484.0,2677971.0,67508936.0,391399.0,
78.24,8918.0,627.0,2677971.0,67508936.0,391399.0,
79.63,10279.0,810.0,2677971.0,67508936.0,391399.0,
79.63,12568.0,1016.0,2677971.0,67508936.0,391399.0,
79.63,14921.0,1279.0,2677971.0,67508936.0,391399.0,
79.63,17587.0,1616.0,2677971.0,67508936.0,391399.0,
79.63,20626.0,2026.0,2677971.0,67508936.0,391399.0,
79.63,23781.0,2489.0,2677971.0,67508936.0,391399.0,
79.63,26555.0,3005.0,2677971.0,67508936.0,391399.0,
79.63,29373.0,3590.0,2677971.0,67508936.0,391399.0,
79.63,33568.0,4300.0,2677971.0,67508936.0,391399.0,85.8173557938115
79.63,38031.0,5127.0,2677971.0,67508936.0,391399.0,
79.63,42922.0,6049.0,2677971.0,67508936.0,391399.0,
79.63,47746.0,7055.0,2677971.0,67508936.0,391399.0,
79.63,52599.0,8111.0,2677971.0,67508936.0,391399.0,
79.63,56575.0,9257.0,2677971.0,67508936.0,391399.0,
79.63,60131.0,10476.0,2677971.0,67508936.0,391399.0,
79.63,65404.0,11644.0,2677971.0,67508936.0,391399.0,
79.63,70881.0,12936.0,2677971.0,67508936.0,391399.0,
79.63,76027.0,14395.0,2677971.0,67508936.0,391399.0,
79.63,80902.0,15766.0,2677971.0,67508936.0,391399.0,
79.63,85229.0,17085.0,2677971.0,67508936.0,391399.0,
79.63,88814.0,18447.0,2677971.0,67508936.0,391399.0,
79.63,92321.0,19823.0,2677971.0,67508936.0,391399.0,
79.63,96524.0,21053.0,2677971.0,67508936.0,391399.0,
79.63,100859.0,22305.0,2677971.0,67508936.0,391399.0,
79.63,105929.0,23580.0,2677971.0,67508936.0,391399.0,
79.63,111221.0,24900.0,2677971.0,67508936.0,391399.0,
79.63,116198.0,26167.0,2677971.0,67508936.0,391399.0,
79.63,120942.0,27355.0,2677971.0,67508936.0,391399.0,
79.63,124823.0,28477.0,2677971.0,67508936.0,391399.0,
79.63,129264.0,29636.0,2677971.0,67508936.0,391399.0,
79.63,134060.0,30718.0,2677971.0,67508936.0,391399.0,
79.63,139577.0,31819.0,2677971.0,67508936.0,391399.0,
79.63,144743.0,32856.0,2677971.0,67508936.0,391399.0,
79.63,149704.0,33860.0,2677971.0,67508936.0,391399.0,
79.63,153461.0,34778.0,2677971.0,67508936.0,391399.0,
79.63,156937.0,35672.0,2677971.0,67508936.0,391399.0,
79.63,161676.0,36538.0,2677971.0,67508936.0,391399.0,
79.63,166395.0,37338.0,2677971.0,67508936.0,391399.0,
79.63,171828.0,38155.0,2677971.0,67508936.0,391399.0,82.0618115230752
79.63,176789.0,38935.0,2677971.0,67508936.0,391399.0,
79.63,181555.0,39720.0,2677971.0,67508936.0,391399.0,
79.63,184813.0,40425.0,2677971.0,67508936.0,391399.0,
79.63,187815.0,41086.0,2677971.0,67508936.0,391399.0,
79.63,191213.0,41762.0,2677971.0,67508936.0,391399.0,
79.63,194899.0,42404.0,2677971.0,67508936.0,391399.0,
79.63,198731.0,43031.0,2677971.0,67508936.0,391399.0,
79.63,202518.0,43660.0,2677971.0,67508936.0,391399.0,
79.63,205582.0,44228.0,2677971.0,67508936.0,391399.0,
77.78,207752.0,44767.0,2677971.0,67508936.0,391399.0,
77.78,210089.0,45260.0,2677971.0,67508936.0,391399.0,
71.3,213701.0,45687.0,2677971.0,67508936.0,391399.0,
71.3,217111.0,46128.0,2677971.0,67508936.0,391399.0,
71.3,220441.0,46582.0,2677971.0,67508936.0,391399.0,
71.3,223071.0,47047.0,2677971.0,67508936.0,391399.0,
71.3,225601.0,47468.0,2677971.0,67508936.0,391399.0,
71.3,227683.0,47887.0,2677971.0,67508936.0,391399.0,
71.3,229520.0,48264.0,2677971.0,67508936.0,391399.0,
71.3,232101.0,48671.0,2677971.0,67508936.0,391399.0,
71.3,235164.0,49042.0,2677971.0,67508936.0,391399.0,
71.3,237883.0,49395.0,2677971.0,67508936.0,391399.0,
71.3,240450.0,49737.0,2677971.0,67508936.0,391399.0,
71.3,242507.0,50037.0,2677971.0,67508936.0,391399.0,
71.3,244039.0,50321.0,2677971.0,67508936.0,391399.0,
71.3,245412.0,50602.0,2677971.0,67508936.0,391399.0,
71.3,247037.0,50881.0,2677971.0,67508936.0,391399.0,
71.3,249107.0,51180.0,2677971.0,67508936.0,391399.0,
69.44,250932.0,51461.0,2677971.0,67508936.0,391399.0,
